# mapping_set_id: https://github.com/edithlaszny/vvo/vvo-mappings-v2-004
# mapping_set_version: 2-004
# license: https://creativecommons.org/licenses/by/4.0/
# creator_id: orcid:0009-0005-6549-9839
# curie_map:
#   VVO: "http://purl.obolibrary.org/obo/VVO_"
#   PO: "http://purl.obolibrary.org/obo/PO_"
#   BTO: "http://purl.obolibrary.org/obo/BTO_"
#   PATO: "http://purl.obolibrary.org/obo/PATO_"
#   GO: "http://purl.obolibrary.org/obo/GO_"
#   NCBITAXON: "http://purl.bioontology.org/ontology/NCBITAXON/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	predicate_id	object_id	match_type	confidence
VVO:0001067	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001584	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000922	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002791	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001735	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001800	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000214	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002668	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002775	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001790	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002411	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002413	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002253	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002559	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002422	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000190	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000855	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000138	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002071	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000294	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002887	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000173	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0003098	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002683	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000924	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001828	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0003000	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001035	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000590	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000618	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001309	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001599	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001287	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0003285	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0003146	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002684	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000767	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000292	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000211	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0003087	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0003096	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001548	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002441	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001239	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001137	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0003031	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001813	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000386	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001595	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001281	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001826	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002999	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0001034	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0000985	skos:narrowMatch	PO:0025073	semapv:HumanCurated	0.95
VVO:0002641	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003136	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002261	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003173	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001802	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003244	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002565	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002826	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003245	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002800	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001889	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000216	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002418	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002255	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001298	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001608	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002680	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002561	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000191	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002376	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000943	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001830	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002678	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000223	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003061	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001618	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003110	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001179	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002745	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0003089	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001501	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002288	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000803	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001771	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002884	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002521	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001332	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0002285	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000698	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0001029	skos:narrowMatch	PO:0009006	semapv:HumanCurated	0.95
VVO:0000125	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0001637	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0002961	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0001507	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0000742	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0003172	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0002867	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0003234	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0003069	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0001620	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0003112	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0000139	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0000619	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0000334	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0003174	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0000930	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0001809	skos:narrowMatch	PO:0025029	semapv:HumanCurated	0.95
VVO:0002946	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001088	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000542	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0003005	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001592	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0002008	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000176	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000965	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0003247	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000513	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000058	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0002532	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000010	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000788	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0002264	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001381	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001470	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001769	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001856	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0002009	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001213	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001340	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000338	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000291	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0002886	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000172	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0003057	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000888	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0003090	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001829	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001036	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000986	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0003088	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0002677	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0002821	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000651	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001448	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0000799	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001478	skos:narrowMatch	PO:0025356	semapv:HumanCurated	0.95
VVO:0001508	skos:narrowMatch	PO:0025034	semapv:HumanCurated	0.95
